Loan Date,Lender,Block,Street Direction,Street Name,Street Type,City,State,Zip,Ward,Industry,Latitude,Longitude,Location
07/24/2014,Accion,034XX,W,Armitage,Avenue,Chicago,IL,60647,26,Retail Sales - Other,41.917434655,-87.713445161,"(41.917435, -87.713445)"
10/07/2013,WBDC,020XX,W,Belmont,Avenue,Chicago,IL,60618,32,Retail Sales - Other,41.939657595,-87.680360379,"(41.939658, -87.68036)"
04/10/2012,Accion,038XX,N,Lincoln,Avenue,Chicago,IL,60613,47,Day Care,41.951797588,-87.677279839,"(41.951798, -87.67728)"
10/22/2014,Accion,053XX,S,Hyde Park,BLVD,Chicago,IL,60615,5,Retail Stores,41.79821668,-87.58416835,"(41.798217, -87.584168)"
03/04/2015,Accion,060XX,W,Irving Pk.,Road,Chicago,IL,60634,38,Retail Stores,41.953128103,-87.778825478,"(41.953128, -87.778825)"
04/29/2014,Accion,011XX,W,Thorndale,Avenue,Chicago,IL,60660,48,Professional/Off Svc,41.99011704,-87.66017523,"(41.990117, -87.660175)"
04/27/2013,Accion,092XX,S,Anthony,Avenue,Chicago,IL,60617,10,Day Care,41.726626307,-87.554414097,"(41.726626, -87.554414)"
10/30/2013,CNI,107XX,S,Eberhart,Street,Chicago,IL,60628,9,Transportation,41.698513608,-87.611230373,"(41.698514, -87.61123)"
04/24/2015,CNI,021XX,S,Canalport,Street,Chicago,IL,60608,25,Other Services - Cosmetology,41.853301464,-87.649929695,"(41.853301, -87.64993)"
10/06/2015,Accion,016XX,W,18th,Street,Chicago,IL,60608,25,Food/Beverage,41.857871405,-87.668270534,"(41.857871, -87.668271)"
07/30/2014,Accion,069XX,W,Grand,Avenue,Chicago,IL,60707,36,Auto/Vehicle,41.923672582,-87.799705607,"(41.923673, -87.799706)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Other Services,41.883179433,-87.651753296,"(41.883179, -87.651753)"
08/05/2013,CNI,009XX,W,Washington,Street,Chicago,IL,60607,27,Other Services,41.883179433,-87.651753296,"(41.883179, -87.651753)"
12/05/2014,Accion,019XX,N,Austin,Avenue,Chicago,IL,60639,29,Food/Beverage,41.91622789,-87.775605613,"(41.916228, -87.775606)"
12/05/2014,Accion,094XX,S,Perry,Avenue,Chicago,IL,60620,21,Day Care,41.722006907,-87.626390322,"(41.722007, -87.62639)"
12/04/2012,CNI,069XX,S,Cornell,Avenue,Chicago,IL,60649,5,Food/Beverage,41.76821085,-87.584545179,"(41.768211, -87.584545)"
02/02/2015,Accion,029XX,N,Lincoln,Avenue,Chicago,IL,60657,32,Retail Stores,41.935398499,-87.662897921,"(41.935398, -87.662898)"
11/19/2013,Accion,012XX,S,Michigan,Avenue,Chicago,IL,60605,3,Food/Beverage,41.866073587,-87.624267673,"(41.866074, -87.624268)"
08/26/2014,Accion,037XX,N,Saint Louis,Avenue,Chicago,IL,60618,35,Retail Stores,41.949861008,-87.715400981,"(41.949861, -87.715401)"
10/04/2013,CNI,043XX,S,Vincennes,Avenue,Chicago,IL,60653,3,Food/Beverage,41.815184026,-87.614192226,"(41.815184, -87.614192)"
04/26/2013,Accion,020XX,N,Seminary,Avenue,Chicago,IL,60614,43,Wholesale,41.91956724,-87.655989859,"(41.919567, -87.65599)"
01/10/2012,Accion,059XX,W,Patterson,Avenue,Chicago,IL,60634,39,Medical Services,41.946795663,-87.776116779,"(41.946796, -87.776117)"
03/23/2015,Accion,041XX,S,Maplewood,Avenue,Chicago,IL,60632,12,Manufacturing,41.817755662,-87.68852451,"(41.817756, -87.688525)"
02/25/2015,Accion,033XX,W,BRYN MAWR,Avenue,CHICAGO,IL,60659,39,Restaurant - Full Service,41.98312144,-87.713368491,"(41.983121, -87.713368)"
02/06/2015,Accion,003XX,E,71st,Street,Chicago,IL,60619,6,Clothing Design/Mfg,41.765795405,-87.616487173,"(41.765795, -87.616487)"
10/17/2014,Accion,054XX,W,Ferdinand,Street,Chicago,IL,60651,37,Auto/Vehicle,41.888993811,-87.762246174,"(41.888994, -87.762246)"
04/22/2013,CNI,095XX,S,King,Drive,Chicago,IL,60628,6,Professional/Off Svc,41.720390674,-87.614253606,"(41.720391, -87.614254)"
05/26/2015,WBDC,005XX,E,43rd,Street,Chicago,IL,60653,4,,41.816831307,-87.612018219,"(41.816831, -87.612018)"
09/19/2013,WBDC,043XX,W,Fullerton,Avenue,Chicago,IL,60639,31,Professional/Off Svc,41.924479361,-87.736194413,"(41.924479, -87.736194)"
10/31/2013,Accion,029XX,W,Pershing,Rd.,Chicago,IL,60632,12,Food/Beverage,41.822807198,-87.69911434,"(41.822807, -87.699114)"
05/30/2013,CNI,039XX,W,87th,Street,Chicago,IL,60652,18,Transportation,41.734977335,-87.720972482,"(41.734977, -87.720972)"
01/28/2016,Accion,015XX,S,Western,Avenue,Chicago,IL,60603,28,Arts/Crafts Production,41.859679009,-87.685989222,"(41.859679, -87.685989)"
07/29/2014,Accion,018XX,E,87th,Street,Chicago,IL,60619,8,Beauty/Salon Services,41.737125223,-87.578601773,"(41.737125, -87.578602)"
